Fecha,Presion,UnixTime,Cuentas,Cuentas_corr
2026-01-01 03:00:00,997.3131590656284,1767236850.5919805,159.67172488584475,162.30803152589507
2026-01-01 03:15:00,997.2680333333333,1767237750.1441958,159.09114139110605,161.70326752252245
2026-01-01 03:30:00,997.2385777777778,1767238650.689131,159.96459681093393,162.58148611642937
2026-01-01 03:45:00,997.2591222222222,1767239550.6113017,159.8480810502283,162.46973981760044
2026-01-01 04:00:00,997.246088888889,1767240450.205176,159.78783238312428,162.40426962259292
2026-01-01 04:15:00,997.2432444444444,1767241350.2314315,159.6691425313569,162.2827130793027
2026-01-01 04:30:00,997.2362777777777,1767242250.6223364,160.79547038724374,163.4252003437803
2026-01-01 04:45:00,997.2429111111112,1767243151.024847,159.7844982896237,162.3998487906171
2026-01-01 05:00:00,997.284128745838,1767244050.4217954,160.43541619156213,163.07486347417984
2026-01-01 05:15:00,997.3241777777778,1767244950.4457726,160.6786237172178,163.33515450089297
2026-01-01 05:30:00,997.3560177975528,1767245851.134725,161.02924629418473,163.7019982065938
2026-01-01 05:45:00,997.3486333333333,1767246750.6928961,160.0772237442922,162.731770662888
2026-01-01 06:00:00,997.294128745838,1767247650.2324803,160.26918564920274,162.90915629497346
2026-01-01 06:15:00,997.2856888888888,1767248550.7589238,160.38646864310147,163.02561933747214
2026-01-01 06:30:00,997.3082647385984,1767249450.386719,160.21889383561643,162.86264045454348
2026-01-01 06:45:00,997.4222111111111,1767250350.515268,160.69478905359176,163.38361804307692
2026-01-01 07:00:00,997.5341888888889,1767251250.6447139,160.11780045610033,162.8334383414636
2026-01-01 07:15:00,997.533,1767252150.693647,161.2753078677309,164.01018738764185
2026-01-01 07:30:00,997.6070333333333,1767253050.7188692,160.53756784492586,163.284112038108
2026-01-01 07:45:00,997.6956444444445,1767253950.8172257,160.31198061573545,163.08356483865305
2026-01-01 08:00:00,997.7271032186459,1767254850.2902122,160.50417559863172,163.28935606390272
2026-01-01 08:15:00,997.8157000000001,1767255750.4119616,160.41245381984038,163.22496251514602
2026-01-01 08:30:00,997.849688888889,1767256650.4407337,161.10471151653363,163.94050148590844
2026-01-01 08:45:00,997.8930255839822,1767257550.9530704,160.98398403648804,163.83184818849244
2026-01-01 09:00:00,997.9731555555555,1767258451.109551,160.55403420752566,163.42048005192504
2026-01-01 09:15:00,998.102488888889,1767259350.6554036,160.20795547945204,163.11040838873737
2026-01-01 09:30:00,998.1347999999999,1767260250.6295366,161.08385193621868,164.01277179966704
2026-01-01 09:45:00,998.1278222222222,1767261151.0387566,161.19897491448117,164.1276975013932
2026-01-01 10:00:00,998.1559555555556,1767262051.0601501,161.7162953249715,164.66368159623602
2026-01-01 10:15:00,998.276211111111,1767262951.0598328,160.2810125427594,163.24149651021543
2026-01-01 10:30:00,998.2937444444444,1767263851.1106634,160.88420410490306,163.8615753515035
2026-01-01 10:45:00,998.3514888888889,1767264750.677278,160.70669520547946,163.6996858224264
2026-01-01 11:00:00,998.4048501664817,1767265650.092932,160.80966628701594,163.82205720604932
2026-01-01 11:15:00,998.4830333333333,1767266550.7404435,160.39623033067275,163.42642889304557
2026-01-01 11:30:00,998.4605333333333,1767267450.9757323,159.96321778791335,162.9779017256874
2026-01-01 11:45:00,998.5474666666668,1767268351.0551076,160.21844583808436,163.26632393495734
2026-01-01 12:00:00,998.5922555555557,1767269250.8263242,160.68823744292237,163.75972108531596
2026-01-01 12:15:00,998.6313888888889,1767270150.5612977,161.74071151653362,164.8452141096962
2026-01-01 12:30:00,998.64638487208,1767271050.7138672,160.418259977195,163.50228269687008
2026-01-01 12:45:00,998.7795333333333,1767271950.9346664,160.94921892816419,164.08713935571546
2026-01-01 13:00:00,998.8573333333334,1767272850.983056,160.0734583808438,163.21969969395036
2026-01-01 13:15:00,998.9571444444445,1767273751.0850093,160.83331356898518,164.02723003611248
2026-01-01 13:30:00,999.0888666666667,1767274650.646969,160.23245205479452,163.4574925798482
2026-01-01 13:45:00,999.1478999999999,1767275550.5113242,161.0135375854214,164.27369332597593
2026-01-01 14:00:00,999.1451888888889,1767276450.9181697,159.71741733181298,162.95044604680245
2026-01-01 14:15:00,999.2431666666666,1767277350.9766948,160.65421778791335,163.93833086579173
2026-01-01 14:30:00,999.3359333333334,1767278250.734327,161.02847548460662,164.35072889393373
2026-01-01 14:45:00,999.4109888888888,1767279150.8273864,159.83095667046751,163.15299275082052
2026-01-01 15:00:00,999.4672142064373,1767280050.3974106,160.36712884834665,163.71871833726777
2026-01-01 15:15:00,999.5252,1767280950.4516332,160.41083808437855,163.78233406945304
