data,TempoEpochUTC,Contagem,Contagem_corr
2026-01-03 00:45:00+00:00,1767401100,1868.4,1854.7
2026-01-03 01:00:00+00:00,1767402000,1872.0,1858.48
2026-01-03 01:15:00+00:00,1767402900,1875.6,1862.2
2026-01-03 01:30:00+00:00,1767403800,1879.2,1865.93
2026-01-03 01:45:00+00:00,1767404700,1875.6,1862.44
2026-01-03 02:00:00+00:00,1767405600,1872.0,1858.95
2026-01-03 02:15:00+00:00,1767406500,1868.4,1855.39
2026-01-03 02:30:00+00:00,1767407400,1864.8,1851.83
2026-01-03 02:45:00+00:00,1767408300,1868.4,1855.36
2026-01-03 03:00:00+00:00,1767409200,1872.0,1858.88
2026-01-03 03:15:00+00:00,1767410100,1875.6,1862.36
2026-01-03 03:30:00+00:00,1767411000,1879.2,1865.84
2026-01-03 03:45:00+00:00,1767411900,1868.4,1855.0
2026-01-03 04:00:00+00:00,1767412800,1857.6,1844.16
2026-01-03 04:15:00+00:00,1767413700,1868.4,1854.76
2026-01-03 04:30:00+00:00,1767414600,1879.2,1865.37
2026-01-03 04:45:00+00:00,1767415500,1872.0,1858.14
2026-01-03 05:00:00+00:00,1767416400,1864.8,1850.91
2026-01-03 05:15:00+00:00,1767417300,1864.8,1850.88
2026-01-03 05:30:00+00:00,1767418200,1864.8,1850.85
2026-01-03 05:45:00+00:00,1767419100,1864.8,1850.89
2026-01-03 06:00:00+00:00,1767420000,1864.8,1850.93
2026-01-03 06:15:00+00:00,1767420900,1861.2,1847.48
2026-01-03 06:30:00+00:00,1767421800,1857.6,1844.03
2026-01-03 06:45:00+00:00,1767422700,1864.8,1851.38
2026-01-03 07:00:00+00:00,1767423600,1872.0,1858.74
2026-01-03 07:15:00+00:00,1767424500,1864.8,1851.88
2026-01-03 07:30:00+00:00,1767425400,1857.6,1845.02
2026-01-03 07:45:00+00:00,1767426300,1861.2,1848.94
2026-01-03 08:00:00+00:00,1767427200,1864.8,1852.87
2026-01-03 08:15:00+00:00,1767428100,1868.4,1856.84
2026-01-03 08:30:00+00:00,1767429000,1872.0,1860.82
2026-01-03 08:45:00+00:00,1767429900,1864.8,1854.08
2026-01-03 09:00:00+00:00,1767430800,1857.6,1847.33
2026-01-03 09:15:00+00:00,1767431700,1868.4,1858.48
