Fecha,PresionIntEalm,UnixTime,Cuentas,Cuentas_corr
2026-01-01 00:00:00,969.6666666666666,1767226051.018028,148.4097876712329,150.14797506898373
2026-01-01 00:15:00,969.6466666666666,1767226949.7554154,148.87501369863014,150.61292646117016
2026-01-01 00:30:00,969.6166666666667,1767227849.9697807,148.56896928327646,150.29474235015073
2026-01-01 00:45:00,969.5,1767228750.158654,149.20823287671232,150.9079766359873
2026-01-01 01:00:00,969.5833333333334,1767229650.4706278,149.02613310580205,150.747668920379
2026-01-01 01:15:00,969.5866666666667,1767230550.6896398,149.5901712328767,151.3191811144049
2026-01-01 01:30:00,969.5933333333332,1767231450.8318715,148.39535836177473,150.11245963572134
2026-01-01 01:45:00,969.5233333333332,1767232350.9595933,148.5434897260274,150.24232148890388
2026-01-01 02:00:00,969.48,1767233251.0524943,148.37539590443686,150.0599498018263
2026-01-01 02:15:00,969.4233333333333,1767234151.189179,148.29491438356163,149.96240772640664
2026-01-01 02:30:00,969.3466666666667,1767235049.8205097,149.2476712328767,150.9038945250568
2026-01-01 02:45:00,969.2766666666666,1767235949.9182012,148.87266211604097,150.50470542004436
2026-01-01 03:00:00,969.2533333333334,1767236850.0808804,148.97522602739727,150.60171688258797
2026-01-01 03:15:00,969.14,1767237750.2664492,148.91828327645052,150.51173875442436
2026-01-01 03:30:00,969.0,1767238650.5557225,148.66026712328767,150.21100033598447
2026-01-01 03:45:00,968.9033333333333,1767239550.7844884,149.02488054607508,150.55176330355982
2026-01-01 04:00:00,968.8533333333334,1767240451.037224,148.72738356164385,150.23694502952273
2026-01-01 04:15:00,968.8633333333333,1767241351.15615,149.7232627986348,151.2458059399838
2026-01-01 04:30:00,968.75,1767242251.3523703,149.84209589041095,151.33325684781286
2026-01-01 04:45:00,968.65,1767243150.2540262,148.82868493150687,150.28120473846053
2026-01-01 05:00:00,968.5933333333332,1767244050.520084,149.6275051194539,151.07155490656422
2026-01-01 05:15:00,968.5833333333334,1767244950.653493,150.43853424657536,151.887525356857
2026-01-01 05:30:00,968.63,1767245850.7987156,150.3228566552901,151.78419118592925
2026-01-01 05:45:00,968.6466666666666,1767246750.9331484,148.98733904109588,150.4404544682597
2026-01-01 06:00:00,968.6733333333333,1767247651.145361,149.6378566552901,151.10497255506073
2026-01-01 06:15:00,968.6666666666666,1767248551.2029378,149.72495205479453,151.19100677826737
2026-01-01 06:30:00,968.7000000000002,1767249449.948841,150.23855479452055,151.71924711899655
2026-01-01 06:45:00,968.6700000000001,1767250350.3175476,149.32904778156995,150.79218096203886
2026-01-01 07:00:00,968.65,1767251250.472513,150.3804691780822,151.84813389715615
2026-01-01 07:15:00,968.68,1767252150.7011237,149.77740273037543,151.24780259511053
2026-01-01 07:30:00,968.6533333333333,1767253050.9146125,149.89729794520548,151.36120568732483
2026-01-01 07:45:00,968.6366666666667,1767253951.018272,149.33661092150172,150.79026785325678
2026-01-01 08:00:00,968.7733333333334,1767254851.146871,150.17445547945206,151.67564806759677
2026-01-01 08:15:00,968.8233333333334,1767255749.7890568,150.168301369863,151.68384172004298
2026-01-01 08:30:00,968.8333333333334,1767256383.684925,150.31585833333332,151.83577272178914
2026-01-01 23:15:00,972.2366666666667,1767310104.147276,145.81501612903227,148.24492886108695
2026-01-01 23:30:00,972.2533333333334,1767310650.4163373,149.5957781569966,152.09351105596107
2026-01-01 23:45:00,972.4200000000001,1767311550.5438232,149.5217397260274,152.0663831699059
2026-01-02 00:00:00,972.56,1767312450.4562209,148.72537201365188,151.2967020031519
2026-01-02 00:15:00,972.66,1767313350.5461864,147.7755102739726,150.35898348812748
2026-01-02 00:30:00,972.7800000000001,1767314250.5837483,148.206228668942,150.83161757072915
2026-01-02 00:45:00,972.8433333333332,1767315150.5663393,149.32000000000002,151.983406295923
2026-01-02 01:00:00,972.9866666666667,1767316050.666118,148.3686723549488,151.05624196115423
2026-01-02 01:15:00,973.0966666666667,1767316950.753977,148.78257876712328,151.50930806498604
2026-01-02 01:30:00,973.1999999999999,1767317850.8919535,149.0508395904437,151.81228817497882
2026-01-02 01:45:00,973.1833333333334,1767318751.018879,147.9089006849315,150.64442221016705
2026-01-02 02:00:00,973.2033333333334,1767319651.1545284,147.97612627986348,150.71861831679752
2026-01-02 02:15:00,973.2266666666666,1767320551.2636492,149.25932191780822,152.0323358081366
2026-01-02 02:30:00,973.32,1767321449.831756,148.9708904109589,151.76545636546325
2026-01-02 02:45:00,973.3633333333333,1767322349.8099723,148.3721058020478,151.16788471506794
2026-01-02 03:00:00,973.3933333333333,1767323250.0293849,147.75406164383563,150.5467756585929
2026-01-02 03:15:00,973.3299999999999,1767324150.135463,148.40062798634813,151.18736884027825
2026-01-02 03:30:00,973.31,1767325050.4345396,147.9015719178082,150.6732155575157
2026-01-02 03:45:00,973.2566666666667,1767325950.73824,148.1959351535836,150.95779726513663
2026-01-02 04:00:00,973.36,1767326850.8635364,149.38570547945204,152.19961973991968
2026-01-02 04:15:00,973.4666666666667,1767327750.5936396,147.1832457337884,149.98606730390972
2026-01-02 04:30:00,973.4766666666666,1767328650.705769,147.87941438356162,150.69835638698262
2026-01-02 04:45:00,973.4900000000001,1767329550.8938882,147.1053037542662,149.91328707784112
2026-01-02 05:00:00,973.4566666666666,1767330451.1016245,149.70791438356164,152.5559148179188
2026-01-02 05:15:00,973.4399999999999,1767331349.691653,148.19393493150685,151.00835184804652
2026-01-02 05:30:00,973.4466666666667,1767332249.8948085,149.1919829351536,152.02727989182102
2026-01-02 05:45:00,973.5099999999999,1767333149.9411726,149.49909246575342,152.35855855020952
2026-01-02 06:00:00,973.5033333333334,1767334050.0826654,148.54031399317407,151.37952405527605
2026-01-02 06:15:00,973.5600000000001,1767334950.2099347,148.6631780821918,151.52104946530946
2026-01-02 06:30:00,973.6533333333333,1767335850.3889446,149.89858703071673,152.80730309576091
2026-01-02 06:45:00,973.6999999999999,1767336750.5075521,147.73122260273973,150.61123551977758
2026-01-02 07:00:00,973.8233333333333,1767337650.6472683,148.22880204778156,151.15393150647193
2026-01-02 07:15:00,973.8133333333334,1767338550.76311,148.30590753424656,151.22968519207305
2026-01-02 07:30:00,973.77,1767339450.9271858,147.99021501706486,150.8953447247926
2026-01-02 07:45:00,973.86,1767340351.0371552,148.8452808219178,151.793150353493
2026-01-02 08:00:00,973.8333333333334,1767341251.1721895,148.87401023890786,151.81475661187983
2026-01-02 08:15:00,973.9433333333333,1767342151.5567696,149.01090753424657,151.98611985430904
2026-01-02 08:30:00,973.9833333333332,1767343050.324074,149.17351712328767,152.16354016208518
2026-01-02 08:45:00,973.9433333333333,1767343950.4691567,147.54807508532423,150.49407989839113
2026-01-02 09:00:00,973.91,1767344850.5791821,148.0845479452055,151.03169854953427
2026-01-02 09:15:00,973.8566666666666,1767345750.802095,148.77260750853242,151.71807686643498
2026-01-02 09:30:00,973.8000000000001,1767346650.9693446,148.02090068493152,150.9352358325308
2026-01-02 09:45:00,973.7833333333333,1767347551.1608944,148.13206825938568,151.04380901934948
2026-01-02 10:00:00,973.7199999999999,1767348451.4492605,147.58247602739726,150.46530671028674
2026-01-02 10:15:00,973.6366666666667,1767349350.2105079,148.48456849315068,151.36105297531367
2026-01-02 10:30:00,973.6,1767350250.3916662,148.19664505119454,151.0570277939358
2026-01-02 10:45:00,973.59,1767351150.5662637,148.16751369863013,151.02446467732196
2026-01-02 11:00:00,973.5666666666666,1767352050.7419426,148.80449829351537,151.66700749154407
2026-01-02 11:15:00,973.5366666666665,1767352950.9835925,149.20814383561643,152.06974962370117
2026-01-02 11:30:00,973.5966666666667,1767353849.722761,148.5864691780822,151.4534168116537
2026-01-02 11:45:00,973.5300000000001,1767354749.886116,149.66445733788396,152.53288249227515
2026-01-02 12:00:00,973.5633333333334,1767355649.9873056,148.23445547945207,151.08504205338215
2026-01-02 12:15:00,973.4699999999999,1767356550.1525266,147.85507849829352,150.6716480808079
2026-01-02 12:30:00,973.3266666666667,1767357450.4048452,147.90319178082194,150.67963722271094
2026-01-02 12:45:00,973.2266666666668,1767358350.526864,150.00455631399316,152.79141553944453
2026-01-02 13:00:00,973.1,1767359250.6171045,148.8033595890411,151.53142943178088
2026-01-02 13:15:00,973.1166666666667,1767360150.7469573,148.421023890785,151.14687046630735
2026-01-02 13:30:00,973.11,1767361050.904488,149.04689041095892,151.78230883540758
2026-01-02 13:45:00,973.1233333333333,1767361951.1305337,149.33557337883957,152.08014257410426
2026-01-02 14:00:00,973.0533333333333,1767362851.5320222,148.80074657534246,151.51533355750323
2026-01-02 14:15:00,972.9466666666667,1767363750.2329605,149.14362328767123,151.83369065779678
2026-01-02 14:30:00,973.0433333333334,1767364650.467779,149.3415290102389,152.06309231453537
2026-01-02 14:45:00,973.02,1767365550.709633,149.32559589041097,152.0401282383487
2026-01-02 15:00:00,973.0333333333333,1767366450.9109619,147.59647440273037,150.28338084957454
2026-01-02 15:15:00,972.9266666666666,1767367351.0186853,149.41772602739726,152.10695714798283
2026-01-02 15:30:00,972.84,1767368251.104076,148.11927645051193,150.76031073911074
2026-01-02 15:45:00,972.7533333333334,1767369151.2622204,148.04638356164384,150.66130719880857
2026-01-02 16:00:00,972.77,1767370049.8898299,148.75435273972602,151.38657497488862
2026-01-02 16:15:00,972.7633333333333,1767370950.1175644,147.9908600682594,150.60766451976602
2026-01-02 16:30:00,972.69,1767371850.3849294,149.86865410958904,152.49741264362865
2026-01-02 16:45:00,972.65,1767372750.5855234,149.63990784982937,152.2530824053402
2026-01-02 17:00:00,972.6633333333333,1767373650.8298013,149.16701712328768,151.77577848513465
2026-01-02 17:15:00,972.6533333333333,1767374550.972847,149.4658771331058,152.0769757264017
2026-01-02 17:30:00,972.52,1767375451.1119468,149.83021575342465,152.40906398384243
2026-01-02 17:45:00,972.5100000000001,1767376349.7343569,149.3670719178082,151.93506181394088
2026-01-02 18:00:00,972.5566666666667,1767377249.9476492,149.67915017064848,152.26600578551245
2026-01-02 18:15:00,972.5033333333334,1767378149.9755037,148.41586643835615,150.96559051357053
2026-01-02 18:30:00,972.5966666666667,1767379050.0855267,149.7702866894198,152.3702970893634
