data,timeEpochUTC_sec,rate_Hz,pressao_mbar,rate_corrigido_Hz
2026-01-05 03:45:00,1767584700.0,1895.2183,944.8693,1893.2391
2026-01-05 04:15:00,1767586500.0,1871.6640,944.7300,1869.2437
2026-01-05 04:45:00,1767588300.0,1878.0467,944.6391,1875.3134
2026-01-05 05:15:00,1767590100.0,1904.0700,944.5616,1901.0353
2026-01-05 05:45:00,1767591900.0,1907.3875,944.5021,1904.1450
2026-01-05 06:15:00,1767593700.0,1904.8983,944.6956,1902.3182
2026-01-05 06:45:00,1767595500.0,1907.7883,944.6780,1905.1442
2026-01-05 07:15:00,1767597300.0,1908.7200,944.8687,1906.7246
2026-01-05 07:45:00,1767599100.0,1909.9233,944.9353,1908.1540
2026-01-05 08:15:00,1767600900.0,1904.2150,945.2232,1903.4304
2026-01-05 08:45:00,1767602700.0,1899.9567,945.4556,1899.9633
2026-01-05 09:15:00,1767604500.0,1903.0683,945.6143,1903.6150
2026-01-05 09:45:00,1767606300.0,1902.1033,945.9676,1903.8520
2026-01-05 10:15:00,1767608100.0,1914.0467,946.3901,1917.2540
2026-01-05 10:45:00,1767609900.0,1916.1267,946.6170,1920.1162
2026-01-05 11:15:00,1767611700.0,1926.9067,946.7197,1931.2733
2026-01-05 11:45:00,1767613500.0,1929.5333,946.8771,1934.4504
2026-01-05 12:15:00,1767615300.0,1931.7233,946.8758,1936.6415
2026-01-05 12:45:00,1767617100.0,1936.9733,946.8630,1941.8605
2026-01-05 13:15:00,1767618900.0,1937.5950,946.7560,1942.1118
2026-01-05 13:45:00,1767620700.0,1935.6033,946.5127,1939.2720
2026-01-05 14:15:00,1767622500.0,1933.2867,946.3744,1936.4720
2026-01-05 14:45:00,1767624300.0,1936.5417,946.1629,1938.9988
2026-01-05 15:15:00,1767626100.0,1940.3433,945.9920,1942.2117
2026-01-05 15:45:00,1767627900.0,1945.3883,945.7184,1946.3092
2026-01-05 16:15:00,1767629700.0,1946.4250,945.4888,1946.5471
2026-01-05 16:45:00,1767631500.0,1946.6167,945.0635,1945.2590
2026-01-05 17:15:00,1767633300.0,1947.9717,944.7877,1945.6534
2026-01-05 17:45:00,1767635100.0,1947.3883,944.5075,1944.0966
2026-01-05 18:15:00,1767636900.0,1949.4417,944.5529,1946.3046
2026-01-05 18:45:00,1767638700.0,1946.0167,944.8662,1943.9737
2026-01-05 19:15:00,1767640500.0,1930.3000,944.9746,1928.6471
2026-01-05 19:45:00,1767642300.0,1923.8567,944.9075,1921.9790
2026-01-05 20:15:00,1767644100.0,1912.8200,944.9021,1910.9346
2026-01-05 20:45:00,1767645900.0,1905.2000,945.0677,1903.8857
2026-01-05 21:15:00,1767647700.0,1895.6667,945.4737,1895.7347
2026-01-05 21:45:00,1767649500.0,1893.0217,945.9213,1894.6050
2026-01-05 22:15:00,1767651300.0,1911.8600,945.9526,1913.5662
2026-01-05 22:45:00,1767653100.0,1909.8167,946.3133,1912.7544
2026-01-05 23:15:00,1767654900.0,1911.5583,946.4686,1915.0303
2026-01-05 23:45:00,1767656700.0,1908.2467,946.6443,1912.3133
2026-01-06 00:15:00,1767658500.0,1904.5083,947.1544,1910.3084
2026-01-06 00:45:00,1767660300.0,1906.1583,947.5598,1913.3500
2026-01-06 01:15:00,1767662100.0,1904.7867,947.8071,1912.8185
2026-01-06 01:45:00,1767663900.0,1908.4500,947.7471,1916.2916
2026-01-06 02:15:00,1767665700.0,1910.0233,947.7888,1918.0147
2026-01-06 02:45:00,1767667500.0,1908.8267,947.5883,1916.1260
2026-01-06 03:15:00,1767669300.0,1913.5500,947.3387,1920.0101
2026-01-06 03:45:00,1767671100.0,1914.9967,947.3668,1921.5583
2026-01-06 04:15:00,1767672900.0,1916.3900,947.2656,1922.6085
2026-01-06 04:45:00,1767674700.0,1912.4867,946.9791,1917.7101
2026-01-06 05:15:00,1767676500.0,1913.6250,946.8611,1918.4465
2026-01-06 05:45:00,1767678300.0,1915.4633,946.6444,1919.5456
2026-01-06 06:15:00,1767680100.0,1921.3433,946.4994,1924.9392
2026-01-06 06:45:00,1767681900.0,1922.6833,946.5495,1926.4542
2026-01-06 07:15:00,1767683700.0,1922.7767,946.6393,1926.8569
2026-01-06 07:45:00,1767685500.0,1925.0733,946.6532,1929.2065
2026-01-06 08:15:00,1767687300.0,1927.9700,946.8416,1932.7603
