2026  18  0  0   704.6   2.79  190406.  2.77   0.62
2026  18  0  1   686.7   2.73  172343.  2.57   0.57
2026  18  0  2   668.0   2.67  153483.  2.38   0.52
2026  18  0  3   666.2   2.91  161085.  2.58   0.58
2026  18  0  4   666.2   2.91  161085.  2.58   0.59
2026  18  0  5   666.2   2.91  161085.  2.58   0.59
2026  18  0  6 99999.9 999.99 9999999. 99.99 999.99
2026  18  0  7 99999.9 999.99 9999999. 99.99 999.99
2026  18  0  8 99999.9 999.99 9999999. 99.99 999.99
2026  18  0  9   661.6   2.79  180360.  2.44   0.60
2026  18  0 10   661.6   2.79  180360.  2.44   0.60
2026  18  0 11   667.1   2.95  169304.  2.63   0.62
2026  18  0 12   667.1   2.95  169304.  2.63   0.62
2026  18  0 13   664.4   2.87  188351.  2.53   0.65
2026  18  0 14   664.1   2.86  190406.  2.52   0.64
2026  18  0 15   653.9   2.74  143487.  2.34   0.53
2026  18  0 16   653.9   2.74  143487.  2.34   0.53
2026  18  0 17   675.3   3.09  160752.  2.82   0.61
2026  18  0 18   674.4   3.07  161770.  2.79   0.62
2026  18  0 19   673.5   3.06  162649.  2.78   0.62
2026  18  0 20   700.9   2.62  143487.  2.57   0.50
2026  18  0 21   700.9   2.62  143487.  2.57   0.50
2026  18  0 22 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 23 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 24 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 25 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 26 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 27 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 28 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 29   683.1   2.82  137655.  2.63   0.49
2026  18  0 30   683.1   2.81  137068.  2.62   0.48
2026  18  0 31   683.6   2.52  119805.  2.36   0.40
2026  18  0 32   683.1   2.55  118586.  2.38   0.40
2026  18  0 33   682.2   2.60  116596.  2.42   0.40
2026  18  0 34   683.8   2.79  140332.  2.61   0.48
2026  18  0 35   684.0   2.81  143487.  2.63   0.49
2026  18  0 36 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 37 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 38   676.1   2.79  140251.  2.55   0.48
2026  18  0 39   672.4   2.85  147444.  2.58 999.99
2026  18  0 40 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 41 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 42 99999.9 999.99 9999999. 99.99 999.99
2026  18  0 43   690.3   2.32  112385.  2.21   0.37
2026  18  0 44   687.9   2.43  117963.  2.30   0.39
2026  18  0 45   683.9   2.63  127462.  2.46   0.45
2026  18  0 46   703.3   2.63  130763.  2.60   0.45
2026  18  0 47   704.0   2.66  132102.  2.64   0.46
2026  18  0 48   706.5   2.80  139382.  2.80   0.51
2026  18  0 49   710.7   2.70  136617.  2.73   0.48
2026  18  0 50   710.6   2.70  136569.  2.73   0.49
2026  18  0 51   687.6   2.66  141725.  2.52   0.49
2026  18  0 52   687.6   2.66  141725.  2.52   0.48
2026  18  0 53   665.6   2.93  196564.  2.60   0.66
2026  18  0 54   665.6   2.93  196564.  2.60   0.65
2026  18  0 55   668.8   2.78  163141.  2.49   0.54
2026  18  0 56   673.1   2.58  117128.  2.34   0.42
2026  18  0 57   678.9   2.52  119542.  2.32   0.41
2026  18  0 58   682.2   2.49  120884.  2.32   0.41
2026  18  0 59   672.1   2.45  108722.  2.21   0.38
2026  18  1  0   671.3   2.45  107741.  2.21   0.38
2026  18  1  1   665.0   2.36  109793.  2.09   0.37
2026  18  1  2   665.0   2.36  109793.  2.09   0.37
2026  18  1  3   656.9   2.49  121426.  2.15   0.42
2026  18  1  4   656.9   2.49  121426.  2.15   0.42
2026  18  1  5   683.1   2.62  119805.  2.45   0.44
2026  18  1  6   683.1   2.62  119805.  2.45   0.45
2026  18  1  7   683.1   2.62  119805.  2.45   0.44
2026  18  1  8   683.9   2.64  118195.  2.47   0.44
2026  18  1  9   684.0   2.64  118414.  2.47   0.44
2026  18  1 10   688.5   2.61  129534.  2.47   0.45
2026  18  1 11   689.2   2.60  131379.  2.47   0.46
2026  18  1 12 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 13   685.0   2.96  153680.  2.78   0.57
2026  18  1 14   685.2   2.96  153524.  2.78   0.56
2026  18  1 15   719.9   2.63  119805.  2.73   0.44
2026  18  1 16   710.4   2.64  139549.  2.66   0.47
2026  18  1 17   705.9   2.64  148840.  2.63   0.49
2026  18  1 18 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 19 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 20 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 21 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 22 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 23   666.1   2.44  124151.  2.17   0.41
2026  18  1 24   666.1   2.44  124151.  2.17   0.41
2026  18  1 25   656.6   2.68  146449.  2.31   0.49
2026  18  1 26   666.0   2.67  129743.  2.37   0.46
2026  18  1 27   675.8   2.66  112385.  2.43   0.42
2026  18  1 28 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 29 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 30   722.6   2.38  131944.  2.49   0.41
2026  18  1 31   722.6   2.38  131944.  2.49   0.41
2026  18  1 32 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 33 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 34   693.5   2.64  148840.  2.54   0.50
2026  18  1 35   693.5   2.64  148840.  2.54   0.49
2026  18  1 36 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 37 99999.9 999.99 9999999. 99.99 999.99
2026  18  1 38   677.8   2.25   91549.  2.07   0.33
2026  18  1 39   677.8   2.25   91549.  2.07   0.33
